Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Iriarte1989,JSTOR,J. Agustin Iriarte; Luis C. Contreras; and Fabian M. Jasic,1989,A long-term study of a small mammal assemblage in the central Chilean matorral,Journal of Mammalogy,70,79,87,9,NULL,1
Iverson1967,JSTOR,Stuart L. Iverson; Robert W. Seabloom; and Joseph M. Hnatiuk,1967,Small mammal distributions across the prairie-forest transition of Minnesota and North Dakota,American Midland Naturalist,78,188,197,10,NULL,4
Johnson1981,Web of Science,David W. Johnson,1981,Ecology of small mammals on two isolated buttes in Canyonlands National Park; Utah,Southwestern Association of Naturalists,26,395,407,13,NULL,4
Johnson2005,UMI,Elizabeth J. Johnson,2005,Bird and small mammal communities of sagebrush-dominated mountain meadows: An examination of meadow characteristics as part of a hierarchical; multi-level study of the Wasatch-Cache National Forest,Utah State University,NULL,1,76,76,NULL,1
Johnston2008,JSTOR,Aaron N. Johnston and Robert G. Anthony,2008,Small mammal microhabitat associations and response to grazing in Oregon,Journal of Wildlife Management,72,1736,1746,11,NULL,4
Jorgensen1965,Brown & Kurzius 1987,Clive D. Jorgensen; and C. Lynn Hayward,1965,Mammals of the Nevada Test Site,Brigham Young University Science Bulletin,6,1,81,81,NULL,125
Jorgensen1999,JSTOR,Eric E. Jorgensen and Stephen Demarais,1999,Spatial scale dependence of rodent habitat use,Journal of Mammalogy,80,421,429,9,NULL,1
Keller2000,UMI,Robert D. Keller,2000,Effects of an exotic species; the European wild boar (Sus scrofa Linnaeus); on the vegetational structure and the small mammal community of the oak/hickory forests of the Great Smoky Mountains National Park,Wake Forest University,NULL,1,92,92,NULL,2
Kemper1985,JSTOR,Catherine Kemper and David T. Bell,1985,Small mammals and habitat structure in lowland rain forest of Peninsular Malaysia,Journal of Tropical Ecology,1,5,22,18,NULL,6
Kepner1978,US Gov Pubs,William G. Kepner,1978,Small mammals of the Black Canyon and Skull Valley planning units; Maricopa and Yavapai counties; Arizona,US. Dept. of the Interior; Bureau of Land Management; Phoenix District Office; Technical Note 350,NULL,NULL,NULL,37,I 53.20: 350,8
Kingsley1981,Brown & Kurzius 1987,Kenneth J. Kingsley,1981,Mammals of the Grapevine Mountains; Death Valley National Monument,University of Nevada; Las Vegas,NULL,NULL,NULL,133,NULL,23
